Date,Action,Symbol,Company,Reason,,,,,,,,,,
28-Jan-20,Added,PAYC,Paycom,S&P 500 constituent Centene Corp. (NYSE: CNC) acquired Wellcare Health Plans.[54],,,,,,,,,,
28-Jan-20,Removed,WCG,WellCare,S&P 500 constituent Centene Corp. (NYSE: CNC) acquired Wellcare Health Plans.[54],,,,,,,,,,
23-Dec-19,Added,LYV,Live Nation Entertainment,Market capitalization change.[55],,,,,,,,,,
23-Dec-19,Added,ZBRA,Zebra Technologies,Market capitalization change.[55],,,,,,,,,,
23-Dec-19,Added,STE,Steris,Market capitalization change.[55],,,,,,,,,,
23-Dec-19,Removed,AMG,Affiliated Managers Group,Market capitalization change.[55],,,,,,,,,,
23-Dec-19,Removed,TRIP,TripAdvisor,Market capitalization change.[55],,,,,,,,,,
23-Dec-19,Removed,MAC,Macerich,Market capitalization change.[55],,,,,,,,,,
9-Dec-19,Added,ODFL,Old Dominion Freight Line,BB&T acquired SunTrust to form Truist Financial.[56],,,,,,,,,,
9-Dec-19,Removed,STI,SunTrust Banks,BB&T acquired SunTrust to form Truist Financial.[56],,,,,,,,,,
5-Dec-19,Added,WRB,W. R. Berkley Corporation,CBS acquired Viacom to form ViacomCBS.[57],,,,,,,,,,
5-Dec-19,Removed,VIAB,Viacom,CBS acquired Viacom to form ViacomCBS.[57],,,,,,,,,,
21-Nov-19,Added,NOW,ServiceNow,Bristol-Myers Squibb (NYSE:BMY) acquired Celgene.[58],,,,,,,,,,
21-Nov-19,Removed,CELG,Celgene,Bristol-Myers Squibb (NYSE:BMY) acquired Celgene.[58],,,,,,,,,,
3-Oct-19,Added,LVS,Las Vegas Sands,Market capitalization change.[59],,,,,,,,,,
3-Oct-19,Removed,NKTR,Nektar Therapeutics,Market capitalization change.[59],,,,,,,,,,
26-Sep-19,Added,NVR,NVR,JEF spun off SPB.[60],,,,,,,,,,
26-Sep-19,Removed,JEF,Jefferies Financial Group,JEF spun off SPB.[60],,,,,,,,,,
23-Sep-19,Added,CDW,CDW,S&P 500 constituent Global Payments (NYSE: GPN) acquired TSS.[61],,,,,,,,,,
23-Sep-19,Removed,TSS,TSYS,S&P 500 constituent Global Payments (NYSE: GPN) acquired TSS.[61],,,,,,,,,,
9-Aug-19,Added,LDOS,Leidos,S&P 500 & 100 constituent Occidental Petroleum Corp. (NYSE:OXY) acquired Anadarko Petroleum.[62],,,,,,,,,,
9-Aug-19,Added,IEX,IDEX Corporation,Market capitalization change.[62],,,,,,,,,,
9-Aug-19,Removed,APC,Anadarko Petroleum,S&P 500 & 100 constituent Occidental Petroleum Corp. (NYSE:OXY) acquired Anadarko Petroleum.[62],,,,,,,,,,
9-Aug-19,Removed,FL,Foot Locker,Market capitalization change.[62],,,,,,,,,,
15-Jul-19,Added,TMUS,T-Mobile US,S&P 500 & 100 constituent IBM acquired Red Hat.[63],,,,,,,,,,
15-Jul-19,Removed,RHT,Red Hat,S&P 500 & 100 constituent IBM acquired Red Hat.[63],,,,,,,,,,
1-Jul-19,Added,MKTX,MarketAxess,L3 purchased by Harris Corporation[64],,,,,,,,,,
1-Jul-19,Removed,LLL,L3 Technologies,L3 purchased by Harris Corporation[64],,,,,,,,,,
11-Jun-19,Added,AMCR,Amcor,BMS changed to AMCR post merger with Amcor;[65] subsequently renamed to Amcor[66],,,,,,,,,,
11-Jun-19,Removed,BMS,Bemis,BMS changed to AMCR post merger with Amcor;[65] subsequently renamed to Amcor[66],,,,,,,,,,
7-Jun-19,Added,BMS,Bemis,Pending merger of Bemis and Amcor; Bemis treated as the surviving entity.[67],,,,,,,,,,
7-Jun-19,Removed,MAT,Mattel,Pending merger of Bemis and Amcor; Bemis treated as the surviving entity.[67],,,,,,,,,,
3-Jun-19,Added,DD,DuPont,DWDP changed to DD after spinning off Corteva.[68],,,,,,,,,,
3-Jun-19,Added,CTVA,Corteva,CTVA spun off from DWDP (which then changed symbol to DD)[68],,,,,,,,,,
3-Jun-19,Removed,DWDP,DuPont,DWDP changed to DD after spinning off Corteva.[68],,,,,,,,,,
3-Jun-19,Removed,FLR,Fluor Corporation,CTVA spun off from DWDP (which then changed symbol to DD)[68],,,,,,,,,,
2-Apr-19,Added,DOW,Dow,DOW spun off from DWDP[69],,,,,,,,,,
2-Apr-19,Removed,BHF,Brighthouse Financial,DOW spun off from DWDP[69],,,,,,,,,,
27-Feb-19,Added,WAB,Wabtec,WAB acquired GE transportation business[70],,,,,,,,,,
27-Feb-19,Removed,GT,The Goodyear Tire & Rubber Company,WAB acquired GE transportation business[70],,,,,,,,,,
15-Feb-19,Added,ATO,Atmos Energy,ECA acquired NFX[71],,,,,,,,,,
15-Feb-19,Removed,NFX,Newfield Exploration,ECA acquired NFX[71],,,,,,,,,,
18-Jan-19,Added,TFX,Teleflex,PCG filed for bankruptcy[72],,,,,,,,,,
18-Jan-19,Removed,PCG,Pacific Gas & Electric Company,PCG filed for bankruptcy[72],,,,,,,,,,
2-Jan-19,Added,FRC,First Republic Bank,Dominion Energy acquired SCANA Corporation[73],,,,,,,,,,
2-Jan-19,Removed,SCG,SCANA,Dominion Energy acquired SCANA Corporation[73],,,,,,,,,,
24-Dec-18,Added,CE,Celanese,S&P 500 constituent Cigna (NYSE: CI) acquired ESRX[74],,,,,,,,,,
24-Dec-18,Removed,ESRX,Express Scripts,S&P 500 constituent Cigna (NYSE: CI) acquired ESRX[74],,,,,,,,,,
3-Dec-18,Added,LW,Lamb Weston,UTX acquired COL[75],,,,,,,,,,
3-Dec-18,Added,MXIM,Maxim Integrated,CVS acquired Aetna[75],,,,,,,,,,
3-Dec-18,Added,FANG,Diamondback Energy,Market Capitalization change[75],,,,,,,,,,
3-Dec-18,Removed,COL,Rockwell Collins,UTX acquired COL[75],,,,,,,,,,
3-Dec-18,Removed,AET,Aetna,CVS acquired Aetna[75],,,,,,,,,,
3-Dec-18,Removed,SRCL,Stericycle,Market Capitalization change[75],,,,,,,,,,
13-Nov-18,Added,JKHY,Jack Henry & Associates,EQT spun off ETRN[76],,,,,,,,,,
13-Nov-18,Removed,EQT,EQT Corporation,EQT spun off ETRN[76],,,,,,,,,,
6-Nov-18,Added,KEYS,Keysight,CA acquired by Broadcom.[77],,,,,,,,,,
6-Nov-18,Removed,CA,CA Technologies,CA acquired by Broadcom.[77],,,,,,,,,,
11-Oct-18,Added,FTNT,Fortinet,EVHC acquired by KKR.[78],,,,,,,,,,
11-Oct-18,Removed,EVHC,Envision Healthcare,EVHC acquired by KKR.[78],,,,,,,,,,
1-Oct-18,Added,ROL,Rollins,ANDV acquired by Marathon Petroleum.[79],,,,,,,,,,
1-Oct-18,Removed,ANDV,Andeavor,ANDV acquired by Marathon Petroleum.[79],,,,,,,,,,
14-Sep-18,Added,WCG,WellCare,XL acquired by AXA.[80],,,,,,,,,,
14-Sep-18,Removed,XL,XL Group,XL acquired by AXA.[80],,,,,,,,,,
